tiff_file,ground_truth
Dataset/ThermEval-D/Thermal_931,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_932,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_942,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_961,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_962,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_963,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_964,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_966,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_967,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_968,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_969,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_970,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_971,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_972,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_973,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_975,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_976,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_977,"['Forehead', 'Chest']"
